Esemble Gene ID,RP3V,ARC Log2>7,Gene Name
ENSMUSG00000008475,13.02,13.89,Arpc5
ENSMUSG00000026755,13.94,13.46,Arpc5l
ENSMUSG00000007656,13.54,13.09,Arpp19
ENSMUSG00000060216,4.29,7.14,Arrb2
ENSMUSG00000074794,3.28,7.33,Arrdc3
ENSMUSG00000048355,11.05,10.58,Arxes1
ENSMUSG00000048040,10.78,13.6,Arxes2
ENSMUSG00000003559,8.96,11.85,As3mt
ENSMUSG00000031591,9.32,10.23,Asah1
ENSMUSG00000042607,5.38,8.3,Asb4
ENSMUSG00000044475,3.73,7.88,Ascc1
ENSMUSG00000019857,8.92,8.89,Asf1a
ENSMUSG00000031575,4.52,10.35,Ash2l
ENSMUSG00000020704,0.34,9.29,Asic2
ENSMUSG00000052456,4.78,7.47,Asna1
ENSMUSG00000029752,11.72,10.82,Asns
ENSMUSG00000028207,6.72,9.21,Asph
ENSMUSG00000029348,8.95,7.29,Asphd2
ENSMUSG00000025142,2.97,7.06,Aspscr1
ENSMUSG00000024654,7.38,9.38,Asrgl1
ENSMUSG00000026587,10.29,10.51,Astn1
ENSMUSG00000013662,6.12,11.47,Atad1
ENSMUSG00000024426,2.36,8.34,Atat1
ENSMUSG00000034958,7.7,7.23,Atcay
ENSMUSG00000030850,10.07,11.3,Ate1
ENSMUSG00000027104,6.13,9.09,Atf2
ENSMUSG00000042406,8.94,8.3,Atf4
ENSMUSG00000021619,7.41,8.09,Atg10
ENSMUSG00000037204,7.5,9.39,Atg101
ENSMUSG00000032905,6.66,8.77,Atg12
ENSMUSG00000027244,4.89,7.7,Atg13
ENSMUSG00000022663,7.36,11.29,Atg3
ENSMUSG00000026280,4.74,7.74,Atg4b
ENSMUSG00000038160,6.94,10.18,Atg5
ENSMUSG00000021066,7.35,10.62,Atl1
ENSMUSG00000059811,5.22,8.46,Atl2
ENSMUSG00000018585,11.74,11.28,Atox1
ENSMUSG00000031862,4.23,7.02,Atp13a1
ENSMUSG00000033161,9.86,10.59,Atp1a1
ENSMUSG00000040907,9.24,11.5,Atp1a3
ENSMUSG00000026576,11.84,13.65,Atp1b1
ENSMUSG00000032412,11.91,11.06,Atp1b3
ENSMUSG00000029467,8.14,10.61,Atp2a2
ENSMUSG00000019943,8.75,11.65,Atp2b1
ENSMUSG00000026463,3.43,7.98,Atp2b4
ENSMUSG00000032570,6.09,9.47,Atp2c1
ENSMUSG00000025428,12.59,13.06,Atp5a1
ENSMUSG00000025393,10.88,13.52,Atp5b
ENSMUSG00000025781,13.4,13.77,Atp5c1
ENSMUSG00000003072,8.82,10.11,Atp5d
ENSMUSG00000016252,11.95,11.13,Atp5e
ENSMUSG00000006057,13.57,13.43,Atp5g1
ENSMUSG00000062683,7.56,8.96,Atp5g2
ENSMUSG00000018770,13.91,13.8,Atp5g3
ENSMUSG00000034566,14.27,13.69,Atp5h
ENSMUSG00000022890,15.6,14.53,Atp5j
ENSMUSG00000038690,14.63,13.6,Atp5j2
ENSMUSG00000050856,14.26,12.63,Atp5k
ENSMUSG00000081700,10.75,9.11,Atp5k-ps2
ENSMUSG00000038717,12.61,11.9,Atp5l
ENSMUSG00000071528,14.43,13.57,Atp5md
ENSMUSG00000021290,13.56,12.91,Atp5mpl
ENSMUSG00000022956,13.91,13.16,Atp5o
ENSMUSG00000000563,13.25,13.78,Atp5pb
ENSMUSG00000044751,7.83,9.4,Atp5pb-ps
ENSMUSG00000019087,12.04,12.63,Atp6ap1
ENSMUSG00000031007,13.53,12.88,Atp6ap2
ENSMUSG00000019302,7.96,8.65,Atp6v0a1
ENSMUSG00000033379,14.13,14.66,Atp6v0b
ENSMUSG00000024121,8.58,8.3,Atp6v0c
ENSMUSG00000080242,9.21,10.43,Atp6v0c-ps2
ENSMUSG00000013160,9.9,11.11,Atp6v0d1
ENSMUSG00000015575,10.31,10.25,Atp6v0e
ENSMUSG00000039347,9.22,11.15,Atp6v0e2
ENSMUSG00000052459,11.84,11.73,Atp6v1a
ENSMUSG00000006273,12.95,13.88,Atp6v1b2
ENSMUSG00000022295,13.7,13.82,Atp6v1c1
ENSMUSG00000021114,14.02,13.95,Atp6v1d
ENSMUSG00000019210,11.38,12.99,Atp6v1e1
ENSMUSG00000004285,13.36,13.35,Atp6v1f
ENSMUSG00000039105,13.31,13.53,Atp6v1g1
ENSMUSG00000024403,13.66,12.95,Atp6v1g2
ENSMUSG00000033793,10.35,12.06,Atp6v1h
ENSMUSG00000037685,8.94,9.22,Atp8a1
ENSMUSG00000060671,4.25,8.92,Atp8b2
ENSMUSG00000027546,9.57,10.1,Atp9a
ENSMUSG00000028710,2.72,8.02,Atpaf1
ENSMUSG00000042709,3.87,9.87,Atpaf2
ENSMUSG00000054428,14.95,14.34,Atpif1
ENSMUSG00000013622,12.58,12.57,Atraid
ENSMUSG00000031229,9.43,10.06,Atrx
ENSMUSG00000016541,12.95,13.75,Atxn10
ENSMUSG00000042605,5.42,8.75,Atxn2
ENSMUSG00000020564,7.23,11.52,Atxn7l1
ENSMUSG00000074748,9.8,9.06,Atxn7l3b
ENSMUSG00000078584,1.84,7.4,AU022252
ENSMUSG00000028830,9.45,8.54,AU040320
ENSMUSG00000021460,7.24,9.83,Auh
ENSMUSG00000068328,5.36,8.92,Aup1
ENSMUSG00000065990,12.99,12.83,Aurkaip1
ENSMUSG00000039182,3.62,9.76,AW209491
ENSMUSG00000038112,12.74,11,AW551984
ENSMUSG00000039285,3.29,8.76,Azi2
ENSMUSG00000027165,9.62,10.75,B230118H07Rik
ENSMUSG00000050538,7.96,10.83,B230217C12Rik
ENSMUSG00000045767,4.37,9.03,B230219D22Rik
ENSMUSG00000060802,4.53,7.5,B2m
ENSMUSG00000043300,5.52,12,B3galnt1
ENSMUSG00000050796,2.64,7.44,B3galt6
ENSMUSG00000071649,8.6,9.49,B3gat3
ENSMUSG00000056124,6.97,8.35,B4galt6
ENSMUSG00000047379,7.35,11.64,B4gat1
ENSMUSG00000052364,7.16,10.63,B630019K06Rik
ENSMUSG00000063439,7.09,9.88,B9d2
ENSMUSG00000031820,7.58,9.44,Babam1
ENSMUSG00000052139,3.29,8.93,Babam2
ENSMUSG00000024959,6.29,8.88,Bad
ENSMUSG00000028416,11.44,12.78,Bag1
ENSMUSG00000049792,6.58,10.55,Bag5
ENSMUSG00000047507,10.11,8.23,Baiap3
ENSMUSG00000024844,12.56,12.03,Banf1
ENSMUSG00000021901,1.69,8.34,Bap1
ENSMUSG00000045763,11.5,12.23,Basp1
ENSMUSG00000003873,6.94,9.15,Bax
ENSMUSG00000026987,4.52,8.41,Baz2b
ENSMUSG00000084957,12.7,11.92,Bbip1
ENSMUSG00000025235,9.68,11.17,Bbs4
ENSMUSG00000063145,7.47,8.67,Bbs5
ENSMUSG00000022641,4.02,8.87,Bbx
ENSMUSG00000067722,8.97,9.58,BC003965
ENSMUSG00000052712,11.36,10.58,BC004004
ENSMUSG00000019132,4.95,8.54,BC005537
ENSMUSG00000026851,11.24,10.25,BC005624
ENSMUSG00000049946,0.43,7.02,BC030500
ENSMUSG00000036299,13.74,14.06,BC031181
ENSMUSG00000020650,10.09,10.56,Bcap29
ENSMUSG00000002015,13.91,13.8,Bcap31
ENSMUSG00000005687,13.77,13.22,Bcas2
ENSMUSG00000030268,7.38,7.29,Bcat1
ENSMUSG00000030983,9.61,10.32,Bccip
ENSMUSG00000037525,3.09,7.59,Bcdin3d
ENSMUSG00000060376,3.72,9.62,Bckdha
ENSMUSG00000032263,5.83,10.48,Bckdhb
ENSMUSG00000029681,6.29,9.27,Bcl7b
ENSMUSG00000037608,7.62,10.32,Bclaf1
ENSMUSG00000026172,6.12,8.82,Bcs1l
ENSMUSG00000046598,6.41,7.49,Bdh1
ENSMUSG00000035086,8.44,9.03,Becn1
ENSMUSG00000028545,4.72,7.92,Bend5
ENSMUSG00000042182,5.63,9.54,Bend6
ENSMUSG00000032757,6.21,9.14,Bet1
ENSMUSG00000025484,9.05,7.17,Bet1l
ENSMUSG00000050071,11.79,11.31,Bex1
ENSMUSG00000042750,15.69,15.41,Bex2
ENSMUSG00000046432,14.76,14.81,Bex3
ENSMUSG00000047844,7.79,7.69,Bex4
ENSMUSG00000047844,7.79,7.69,Bex4
ENSMUSG00000022684,6.75,7.96,Bfar
ENSMUSG00000072964,9.27,11.78,Bhlhb9
ENSMUSG00000030103,3.34,7.92,Bhlhe40
ENSMUSG00000003452,8.57,7.75,Bicd1
ENSMUSG00000024381,5.49,7.11,Bin1
ENSMUSG00000057367,4.17,8.26,Birc2
