source_label,level,best_target,n_cells,coverage,purity,f1,median_boot
GABA-50-Chat-Vip,supertype,0177 Vip Gaba_5,3,0.375,0.3,0.33333333333333326,1.0
GABA-50-Chat-Vip,cluster,0642 Vip Gaba_5,2,0.2857142857142857,0.4,0.3333333333333333,1.0
GABA-51-Vip-Crh,class,06 CTX-CGE GABA,70,1.0,0.12844036697247707,0.22764227642276422,1.0
GABA-51-Vip-Crh,subclass,046 Vip Gaba,72,0.972972972972973,0.4897959183673469,0.65158371040724,1.0
GABA-51-Vip-Crh,supertype,0174 Vip Gaba_2,22,0.4,1.0,0.5714285714285715,0.985
GABA-51-Vip-Crh,cluster,0628 Vip Gaba_2,13,0.37142857142857144,1.0,0.5416666666666666,0.98
GABA-52-Calb2-Rgs12,class,06 CTX-CGE GABA,12,1.0,0.022018348623853212,0.04308797127468582,1.0
GABA-52-Calb2-Rgs12,subclass,046 Vip Gaba,3,0.6,0.02040816326530612,0.039473684210526314,0.97
GABA-52-Calb2-Rgs12,supertype,0200 Lamp5 Gaba_2,3,0.6,1.0,0.7499999999999999,0.99
GABA-52-Calb2-Rgs12,cluster,0656 Vip Gaba_9,1,1.0,1.0,1.0,0.81
GABA-53-Htr3a-Kcnc2,class,06 CTX-CGE GABA,75,1.0,0.13761467889908258,0.24193548387096775,1.0
GABA-53-Htr3a-Kcnc2,subclass,046 Vip Gaba,64,0.9552238805970149,0.43537414965986393,0.5981308411214953,1.0
GABA-53-Htr3a-Kcnc2,supertype,0173 Vip Gaba_1,23,0.4791666666666667,0.9583333333333334,0.638888888888889,1.0
GABA-53-Htr3a-Kcnc2,cluster,0625 Vip Gaba_1,22,0.55,1.0,0.7096774193548387,1.0
GABA-54-Scng-Kcnc2,class,06 CTX-CGE GABA,70,1.0,0.12844036697247707,0.22764227642276422,1.0
GABA-54-Scng-Kcnc2,subclass,047 Sncg Gaba,56,0.9180327868852459,0.43410852713178294,0.5894736842105263,1.0
GABA-54-Scng-Kcnc2,supertype,0187 Sncg Gaba_3,29,0.5471698113207547,0.7631578947368421,0.6373626373626373,1.0
GABA-54-Scng-Kcnc2,cluster,0668 Sncg Gaba_1,6,0.2,0.6666666666666666,0.30769230769230765,1.0
GABA-55-Sncg-Vip,class,06 CTX-CGE GABA,25,1.0,0.045871559633027525,0.08771929824561404,1.0
GABA-55-Sncg-Vip,subclass,047 Sncg Gaba,21,0.9545454545454546,0.16279069767441862,0.2781456953642384,1.0
